Column1,ind,vi,en,lesson
283,283,công ty,company,66
284,284,chi phí,"cost, costs",45
285,285,tiền tệ,currency,50
286,286,lệ phí,fee,45
287,287,kinh phí,budget,45
288,288,hoá đơn,"check, bills, bill",30
289,289,tiền mặt,cash,40
290,290,nhãn hiệu,brand,33
291,291,hợp đồng,contract,30
292,292,toàn cầu hoá,globalization,60
293,293,thị trường,market,77
294,294,công nghiệp,industry,42
295,295,chứng khoán,stock,36
296,296,rủi ro,risk,47
297,297,giao dịch,transaction,28
298,298,kinh doanh,business,29
299,299,đô la,"dollars, dollar",18
300,300,sản phẩm,product,44
301,301,tiền,money,78
302,302,bảo hiểm,insurance,33
303,303,vận tốc,velocity,80
304,304,công thức,formula,54
305,305,cơ học lượng tử,Quantum Mechanics,60
306,306,tăng,"gaining, rise, increasing",17
307,307,giảm,reduce,62
308,308,kết luận,conclusion,39
309,309,sinh học,biology,76
310,310,địa lý,geography,40
311,311,hoá học,chemistry,68
312,312,khám phá,discover,44
313,313,vật lý,physics,40
314,314,khái niệm,concept,69
315,315,triết học,philosophy,79
316,316,toán,math,79
317,317,mét,meter,71
318,318,phòng thí nghiệm,laboratory,51
319,319,đo,measure,2
320,320,trọng lượng,weight,40
321,321,độ sâu,depth,47
322,322,khối lượng,mass,40
323,323,số lượng,"amount, quantity, number",40
324,324,nhiệt độ,temperature,29
325,325,giới hạn,limit,33
326,326,tốc độ,speed,29
327,327,thể tích,volume,54
328,328,khoảng cách,distance,69
329,329,mẫu vật,sample,58
330,330,thí nghiệm,experiment,42
331,331,thuyết,theory,78
332,332,phương pháp,method,45
333,333,năng lượng,energy,40
334,334,công nghệ,technology,42
335,335,chi tiết,detail,60
336,336,dự án,project,18
337,337,khoa học,science,69
338,338,kiểm tra,"checking, check, checks",70
339,339,cuộc hẹn,appointment,66
340,340,lưng,back,15
341,341,gãy,"breaks, broken, break",62
342,342,mũi,nose,72
343,343,bác sĩ thú y,vet,60
344,344,tai,ear,10
345,345,răng,teeth,16
346,346,lưỡi,tongue,15
347,347,khám,examine,69
348,348,ngón tay,finger,49
349,349,ngực,chest,72
350,350,miệng,mouth,19
351,351,cánh tay,arm,49
352,352,não,brain,9
353,353,cẳng chân,leg,24
354,354,chấn thương,injure,54
355,355,mắt,eye,8
356,356,bàn chân,foot,24
357,357,chế độ ăn kiêng,diet,29
358,358,thị lực,"eyesight, sight, vision",39
359,359,đau,"pain, sore, painful",6
360,360,da,"skin, leather",2
361,361,bệnh nhân,patient,43
362,362,tóc,hair,79
363,363,dịch bệnh,plague,66
364,364,máu,blood,8
365,365,xe cấp cứu,ambulance,24
366,366,lây lan,spread,70
367,367,trái tim,heart,79
368,368,trường hợp khẩn cấp,"emergency, emergencies",35
369,369,ung thư,cancer,53
370,370,đầu,head,6
371,371,chữa,"cure, treat, treating",13
372,372,mặt,face,8
373,373,thuốc,medicine,20
374,374,cảm cúm,flu,64
375,375,sự điều trị,treatment,28
376,376,cơ thể,body,51
377,377,sức khoẻ,health,36
378,378,chăm sóc,take care of,64
379,379,bàn tay,hand,49
380,380,bệnh,"sick, illness, disease",12
381,381,thông dịch viên,interpreter,28
382,382,nhà nghiên cứu,researcher,42
383,383,nhà triết học,philosopher,73
384,384,thuỷ thủ,sailor,53
385,385,nhà sử học,historian,48
386,386,nhân viên,"worker, employee, workers",59
387,387,thợ mộc,carpenter,41
388,388,nhà thơ,poet,52
389,389,tác giả,author,31
390,390,nhà văn,writer,58
391,391,hoạ sĩ,painter,68
392,392,thợ làm tóc,hairdresser,38
393,393,tài xế,driver,60
394,394,thủ thư,librarian,53
395,395,cơn,(classifier),5
396,396,đoá,(classifier),67
397,397,bài,"classifier - compositions, text",63
398,398,môn,"(classifier), subject",8
399,399,tấm,"classifier for pieces of cloth, sheet, CLr for sheet-like things",10
400,400,bản,"(classifier), copies",4
401,401,bức,(classifier),64
402,402,viện,"sections, institute, institution",81
403,403,đàn,(classifier),6
404,404,vị,"(classifier), (honorific)",4
405,405,không gian,space,32
406,406,danh dự,honor,31
407,407,ký ức,memory,19
408,408,nụ cười,smile,26
409,409,thành tích,achievement,54
410,410,thái độ,attitude,29
411,411,niềm vui,"joy, happiness",73
412,412,xu thế,trend,51
413,413,lỗi,fault,8
414,414,trách nhiệm,responsibility,44
415,415,trạng thái,"condition, states, state",79
416,416,kinh nghiệm,experience,42
417,417,hậu quả,"consequence, consequences",46
418,418,giấy phép,"permission, permit",67
419,419,ký hiệu,"symbol, sign",33
420,420,biểu tượng,symbol,57
421,421,sự sợ hãi,fear,48
422,422,sự kiện,event,37
423,423,lối thoát,exit,52
424,424,sự cố gắng,"attempt, effort, efforts",26
425,425,chữ ký,signature,37
426,426,vị trí,position,56
427,427,hành vi,behavior,59
428,428,tính thực tế,practicality,54
429,429,thiệt hại,damage,33
430,430,cuộc sống,life,66
431,431,tín hiệu,signal,33
432,432,niềm tin,faith,55
433,433,bí mật,secret,40
434,434,nỗ lực,effort,39
435,435,tình huống,"case, situation",35
436,436,tôn giáo,religion,32
437,437,chú ý,attention,18
438,438,lợi,benefit,8
439,439,buổi hoà nhạc,concert,34
440,440,cuộc thi,"contest, competition",51
441,441,thơ,poetry,11
442,442,bộ sưu tập,collection,48
443,443,văn học,literature,80
444,444,khán giả,audience,31
445,445,phong cách,style,74
446,446,bài hát,song,63
447,447,thời trang,fashion,56
448,448,nhiếp ảnh,photography,21
449,449,âm thanh,sound,50
450,450,vĩ cầm,violin,24
451,451,nghệ thuật,art,72
452,452,phim,"movie, the movie, films",74
453,453,nhạc,music,15
454,454,sáo,flute,10
455,455,huy chương,medal,25
456,456,huấn luyện viên,coach,68
457,457,chức vô địch,championship,59
458,458,sân vận động,stadium,58
459,459,vận động viên,athlete,30
460,460,điểm,"point, points, score",67
461,461,quần vợt,tennis,75
462,462,bóng chuyền,volleyball,25
463,463,bóng bầu dục,football,22
464,464,trận đấu,match,27
465,465,bóng rổ,basketball,47
466,466,thể thao,sports,51
467,467,bóng,"shadow, balls, ball",12
468,468,bàn thắng,goal,50
469,469,trọng tài,referee,49
470,470,cầu thủ,player,53
471,471,sự giàu có,"wealth, richness",32
472,472,chủ quyền,sovereignty,47
473,473,phúc lợi,welfare,39
474,474,khủng bố,"terror, terrorism, terrorist",23
475,475,bắt giữ,"under arrest, arrest, arrested",32
476,476,cơ sở hạ tầng,"infrastructure, infrastructures",48
477,477,quyết định,"decides, decide, decision",29
478,478,quyền lực,power,39
479,479,tỷ lệ,"rate, ratio",20
480,480,vua,king,81
481,481,nguyên nhân,cause,43
482,482,chính sách,policy,65
483,483,hải quân,navy,46
484,484,ứng cử viên,"candidate, candidates",26
485,485,nghĩa vụ,"duty, duties",59
486,486,thị trưởng,mayor,77
487,487,quyền,"right, rights",19
488,488,kế hoạch,plan,34
489,489,bạo lực,"violence, violent",39
490,490,cuộc xung đột,"conflict, conflicts",66
491,491,khủng hoảng,crisis,34
492,492,đình công,"go on strike, strike",26
493,493,mối đe doạ,"threat, threats",28
494,494,từ chức,resign,25
495,495,nữ hoàng,queen,34
496,496,chiến dịch,"campaign, operation",28
497,497,bài diễn văn,speech,28
498,498,yêu cầu,"ask, require, order",82
499,499,hiến pháp,constitution,45
500,500,cuộc bầu cử,election,22
501,501,tội phạm,"criminal, criminals",44
502,502,quốc hội,"congress, parliament",34
503,503,công dân,citizen,27
504,504,tham nhũng,corruption,77
505,505,ý kiến,"idea, opinion, view",37
506,506,bỏ phiếu,vote,45
507,507,hoà bình,peace,23
508,508,chính trị gia,"politician, politicians",56
509,509,quân đội,"army, military, the army",30
510,510,chính trị,"politics, political",56
511,511,chiến tranh,war,65
512,512,chiến lược,strategy,40
513,513,xã hội,"society, social",34
514,514,kinh tế,"economics, economical, economy",50
515,515,phát triển,"development, develop, developed",74
516,516,sự đầu tư,investment,27
517,517,tổng thống,president,52
518,518,luật,"laws', law, laws",71
519,519,an ninh,security,63
520,520,thuế,"tax, taxes",78
521,521,chính phủ,government,46
522,522,toà án,court,20
523,523,kể,"tell, tells, telling",69
524,524,tre,bamboo,11
525,525,dép,slippers,61
526,526,cành,branch,12
527,527,ở trọ,"to lodge, lodges",57
528,528,cố tình,"intentionally, intentional, on purpose",55
529,529,dừa,coconut,61
530,530,ám chỉ,"refer to, allude to, alluding",24
531,531,vệ sinh,hygiene,80
532,532,tàu ngầm,submarine,76
533,533,nô lệ,slave,38
534,534,tượng đài,"statue, statues",27
535,535,ria mép,mustache,75
536,536,thiết bị,equipment,22
537,537,hình ảnh,"image, picture",21
538,538,tàng hình,invisible,33
539,539,yên lặng,quiet,38
540,540,thích hợp,"fit, suitable",35
541,541,trẻ,young,11
542,542,cụ thể,"particular, specific",51
543,543,hiệu quả,"efficient, effective",46
544,544,bình tĩnh,calm,55
545,545,căng thẳng,stress,50
546,546,sẵn sàng,ready,47
547,547,phù hợp,suitable,35
548,548,sợ,"scared, afraid, frightened",3
549,549,tạm thời,"temporarily, temporary",76
550,550,bình đẳng,equal,27
551,551,hào phóng,"generous, generosity",45
552,552,tò mò,curious,41
553,553,đau đớn,painful,30
554,554,lạnh,cold,14
555,555,cổ,ancient,1
556,556,sớm,early,76
557,557,mạnh mẽ,strong,41
558,558,gần,"close to, close, is close to",62
559,559,thất vọng,disappointed,77
560,560,thấp,"short, low, is short",77
561,561,cao,"tall, is tall, high",5
562,562,tư nhân,private,43
563,563,bất ngờ,surprise,43
564,564,công,public,13
565,565,quý giá,"valuable, precious",31
566,566,tự do,free,29
567,567,duy nhất,"unique, only",67
568,568,yên tĩnh,quiet,55
569,569,phổ biến,popular,22
570,570,ven biển,coastal,22
571,571,an toàn,safe,56
572,572,vật chất,matter,80
573,573,khói,smoke,14
574,574,cát,sand,64
575,575,môi trường,environment,71
576,576,cỏ,grass,1
577,577,thực vật,plants,58
578,578,sóng,waves,17
579,579,khí hậu,climate,69
580,580,ánh sáng,light,47
581,581,lá,leaf,2
582,582,gió,wind,7
583,583,cảnh quan,"landscape, view",46
584,584,ngọn đồi,hill,30
585,585,rừng,forest,16
586,586,trái đất,Earth,79
587,587,rễ,root,3
588,588,hành tinh,planet,55
589,589,hòn đá,stone,27
590,590,thiên nhiên,nature,44
591,591,đất,"soil, property, land",6
592,592,thời tiết,"climate, weather",78
593,593,ngôi sao,"star, stars",72
594,594,sông,"river, water",17
595,595,núi,mountain,73
596,596,mưa,rain,9
597,597,núi lửa,"volcano, volcanoes",39
598,598,lửa,fire,71
599,599,không khí,air,36
600,600,cơn bão,storm,22
601,601,cánh đồng,field,30
602,602,cây,"tree, classifier, trees",64
603,603,mặt trăng,moon,56
604,604,mặt trời,sun,71
605,605,bầu trời,sky,63
606,606,biển,sea,12
607,607,hoa,flower,68
608,608,mạng xã hội,social network,71
609,609,kênh,channel,69
610,610,công cụ tìm kiếm,search engine,26
611,611,đăng nhập,sign in,61
612,612,phản hồi,feedback,34
613,613,phóng viên,reporter,59
614,614,mạng,"networks, network, internet",15
615,615,internet,"internet, (the) internet",69
616,616,trực tuyến,online,79
617,617,mật khẩu,password,35
618,618,kết nối,connect,44
619,619,thời sự,the news,48
620,620,tin nhắn,message,43
621,621,truyền thông,media,52
622,622,diễn đàn,forum,27
623,623,mạng lưới,"network, networks",71
624,624,báo chí,press,24
625,625,bình luận,comment,39
626,626,thông tin,information,55
627,627,gấu trúc,panda,67
628,628,vẹt,parrot,12
629,629,lạc đà,camel,27
630,630,chân,leg,12
631,631,cá mập,shark,64
632,632,cú,owl,2
633,633,cừu,sheep,6
634,634,ếch,frog,67
635,635,đuôi,tail,62
636,636,sừng,horn,17
637,637,nhện,spider,16
638,638,sói,wolf,10
639,639,cá heo,dolphin,64
640,640,tê giác,rhino,32
641,641,muỗi,mosquito,15
642,642,cáo,fox,5
643,643,cò,stork,1
644,644,xảy ra,happen,82
645,645,đại diện,represent,28
646,646,lan truyền,spread,70
647,647,tham gia,"participate, join, in",31
648,648,chạm,touch,12
649,649,chỉ trích,criticize,60
650,650,chứng minh,prove,65
651,651,bắt nguồn,originate,63
652,652,gia nhập,join,62
653,653,chuẩn bị,prepare,22
654,654,trở nên,"become, becomes",42
655,655,kiểm soát,control,70
656,656,toả sáng,shine,47
657,657,thức khuya,stay up late,78
658,658,nổ,explode,3
659,659,đầu tư,invest,57
660,660,liệt kê,list,35
661,661,dậy,get up,6
662,662,dạy,"teach, show, educate",6
663,663,hết hạn,expire,33
664,664,mơ,dream,3
665,665,ước,"wishes, wish",80
666,666,chứa,"contain, contains",13
667,667,khắc phục,"fix, overcome",46
668,668,kéo dài,"last (verb), last",27
669,669,đăng ký,register,37
670,670,chọn,"picks, pick, chooses",65
671,671,cứu,"save, saves",6
672,672,xây,"build, hope",82
673,673,thu hút,attract,78
674,674,sửa,"repair, fix",10
675,675,hành động,action,30
676,676,trò chơi,game,79
677,677,tình hình,situation,33
678,678,hiện tượng,phenomenon,57
679,679,cơ hội,"occasion, opportunity",34
680,680,bằng chứng,evidence,25
681,681,di chúc,"testament, will",25
682,682,giải thưởng,"prize, award",54
683,683,niềm hy vọng,hope,73
684,684,sự bảo vệ,protection,22
685,685,sự lựa chọn,choice,39
686,686,lượt,"turn, turns",15
687,687,điều ước,wish,61
688,688,vai trò,role,57
689,689,mục đích,"purpose, objective",28
690,690,giá trị,value,56
691,691,vấn đề,"problem, problems, issue",28
692,692,tâm trí,mind,56
693,693,ảnh hưởng,affect,35
694,694,thoả thuận,deal,78
695,695,giải pháp,solution,45
696,696,kết quả,result,46
697,697,lựa chọn,option,71
698,698,trường hợp,case,35
699,699,cấp độ,level,29
700,700,nội dung,content,31
701,701,loại,"sorts, kind of, kind",70
702,702,phiên bản,"edition, version",21
703,703,hồ sơ,"profile, record, curriculum vitae",48
704,704,tài khoản,account,36
705,705,danh sách,list,66
706,706,nhóm,"group, team",16
707,707,dịch vụ,service,59
708,708,hệ thống,system,52
709,709,thành viên,"member, members",59
710,710,thiết kế,design,35
711,711,ly hôn,divorce,35
712,712,tình yêu,love,78
713,713,đám cưới,wedding,26
714,714,cưới,"marry, marrying",13
715,715,bạn gái,girlfriend,63
716,716,cá nhân,individual,43
717,717,kẻ ác,"villain, villains",69
718,718,khách hàng,"customer, customers",69
719,719,đồng nghiệp,"colleague, co-worker",42
720,720,anh hùng,hero,35
721,721,tình bạn,friendship,21
722,722,loài người,"the human race, humankind, mankind",43
723,723,uỷ ban,committee,21
724,724,tính nhân đạo,humanity,43
725,725,dân số,population,48
726,726,hội thảo,workshop,51
727,727,con người,"person, humans, human",43
728,728,bạn trai,boyfriend,56
729,729,lịch sử,history,48
730,730,kẻ thù,enemy,53
731,731,công cộng,public,26
732,732,mối quan hệ,"relationship, relation",46
733,733,một ai đó,"someone, somebody",71
734,734,điều,"things, thing, that",61
735,735,mọi,"any, every, all",8
736,736,cả hai,both,33
737,737,bất kỳ ai,"anyone, anybody",37
738,738,bất kỳ cái gì,anything,37
739,739,khác,"different, other, another",14
740,740,không ai,"nobody, no one",69
741,741,tất cả,"all, whole, every",23
742,742,cái gì đó,something,64
743,743,mọi thứ,"everything, things",53
744,744,bản thân,"myself, themselves, himself",50
745,745,tự mình,"by herself, by myself, by themselves",80
746,746,tự,"self, by oneself",3
747,747,so với,"in comparison to, than",59
748,748,cho đến khi,until,28
749,749,thật sự,"real, really",48
750,750,mà,"that, but, if",3
751,751,thà,would rather,77
752,752,rồi,"is, now, already",75
753,753,còn hơn,than,35
754,754,hết,run out of (sth),7
755,755,lạc,"lost, peanut",70
756,756,được không,"can ... ?, could",36
757,757,mời,"invite, please, invited",8
758,758,một chút,"a bit, a little, a bit of",71
759,759,làm phiền,bother,45
760,760,cũng được,"it is okay to (verb), (I'm) okay with",31
761,761,rằng,that,16
762,762,có vẻ,"seem, seems, appear",58
763,763,có lẽ,maybe,38
764,764,bài thuyết trình,presentation,63
765,765,giáo sư,"professor, professors",48
766,766,bài giảng,"lecture, lectures",32
767,767,báo cáo,"report, reports",63
768,768,nghiên cứu sinh,"PhD student, doctoral student",26
769,769,đại học,"university, universities",60
770,770,văn bản,"document, text",21
771,771,ngành,"business, branch, major",19
772,772,bài kiểm tra,"test, the test, quiz",37
773,773,chương,chapter,65
774,774,ví dụ,"example, instance, examples",31
775,775,kiến thức,knowledge,54
776,776,nghiên cứu,"study, research",26
777,777,ý tưởng,"idea, ideas",57
778,778,học bổng,scholarship,23
779,779,trường,school,79
780,780,khoá học,course,69
781,781,giáo dục,"education, educate, educated",30
782,782,chương trình,program,65
783,783,ghi chú,note,25
784,784,lớp học,"classroom, classrooms, class",70
785,785,trên,"on, over, top",79
786,786,dưới,"under, beneath, bottom",62
787,787,ngoại trừ,"except, apart from, besides",57
788,788,bên,"side, with",63
789,789,giữa,"middle, among, between",67
790,790,cạnh,"beside, edge, side",12
791,791,bởi,by,4
792,792,bị,"is, being, be",1
793,793,được,"can, ok, for",62
794,794,thông báo,"notify, notifies",22
795,795,phản bội,"betrays, betray, betrayed",23
796,796,cấm,"prohibit, prohibited, prohibits",5
797,797,ngưỡng mộ,"admire, admires",41
798,798,kết thúc,"ends, end, finish",54
799,799,sở hữu,"own, owns",76
800,800,xây dựng,build,31
801,801,nhận được,"receive, gets, receives",31
802,802,giải thích,"explain, explains",62
803,803,liên hệ,"contact, contact (verb), contacted",70
804,804,vâng lời,obey,39
805,805,chờ,"wait for, layovers, waits",5
806,806,định nghĩa,"definition, define",42
807,807,tạo ra,"create, creates, make",76
808,808,dành,"spend (time), spends, spend",61
809,809,cảm thấy,feel,51
810,810,theo,"follow, takes, follows",77
811,811,tiếp tục,"continue, continues, keep",57
812,812,cho rằng,"assume, assumes",47
813,813,xuất hiện,"appear, appears",33
814,814,giới thiệu,"introduce, introduces",52
815,815,xuất khẩu,"export, exports, exporting",35
816,816,nhập khẩu,"import, importing, imports",35
817,817,trộn,mix,79
818,818,danh lam thắng cảnh,"landmark, landmarks",38
819,819,thăm,visit,77
