vi,en,lesson
tự tin,confident,55
tỷ giá,exchange rate,31
ủng hộ,donate,34
uỷ ban,committee,21
vấn đề,problem,28
vật lý,physics,40
vậy mà,but,80
vẻ đẹp,beauty,80
vĩ cầm,violin,24
vị trí,location,56
vớ vẩn,nonsense,58
vũ khí,weapon,36
vũ trụ,universe,57
vui vẻ,happy,58
xã hội,society,34
xảy ra,happen,82
xe đạp,bicycle,82
xe hơi,car,34
xe máy,motorbike,82
xu thế,trend,51
ý kiến,opinion,37
yếu tố,element,82
an ninh,security,63
an toàn,safe,56
áo lạnh,frozen,38
bài báo,article,22
bài hát,song,63
bạn gái,girlfriend,63
bàn tay,hand,49
bánh mì,bread,41
báo cáo,report,63
báo chí,press,24
bao gồm,include,33
bạo lực,violent,39
bảo thủ,conservative,53
bất cẩn,careless,24
bắt đầu,begin,27
bắt giữ,arrest,32
bất lợi,adverse,39
bất ngờ,surprise,43
bây giờ,now,32
bóc lột,exploit,63
bóng rổ,basketball,47
bừa bãi,indiscriminate,21
bực bội,annoyed,23
bụi bặm,dust,21
bút chì,pencil,24
cà chua,tomato,25
cá nhân,individual,43
cảm cúm,flu,64
cầu thủ,player,53
cây tre,bamboo,56
che chở,protect,65
chỉ huy,command,65
chi phí,expense,45
chia sẻ,share,65
chim sẻ,sparrow,65
cố gắng,try,60
cố tình,deliberately,55
cộc cằn,rough,24
cơm bụi,dusty rice,65
cơn bão,storm,22
còn hơn,more,35
công lý,justice,40
công ty,company,66
dân chủ,democracy,25
dang dở,unfinished,29
danh dự,honor,31
dễ dàng,easy,27
di chúc,testament,25
dịch vụ,service,59
dự đoán,forecast,29
du kích,guerrilla,61
du lịch,tourism,61
duy trì,maintain,56
đã từng,used to,61
đại học,university,60
đàn ông,man,66
đăng ký,register,37
đáng nể,respectable,42
đanh đá,stone,27
đạo đức,morality,30
đầu bếp,chef,66
đau đớn,painful,30
đến lúc,time,39
địa chỉ,address,24
độc lập,independence,38
đôi khi,sometimes,36
đối mặt,facing,40
đom đóm,firefly,67
đồng hồ,clock,34
đu quay,swing,47
đứa trẻ,kid,56
gan góc,grit,32
gần như,almost,62
ghen tị,jealous,62
ghi chú,note,25
giá trị,value,56
giận dữ,furious,31
giáo sư,professor,48
hành lý,luggage,40
hành vi,behavior,59
hậu quả,consequence,46
hết hạn,expired,33
họ hàng,relative,68
hoá đơn,invoice,30
hoá học,chemistry,68
hỏi giờ,breath,32
hôm nay,today,42
hôm qua,yesterday,46
hơn nữa,furthermore,68
hợp tác,cooperate,49
hy vọng,hope,68
kế toán,accountant,56
kéo dài,lengthen,27
kết nối,connect,44
kết quả,result,46
khí hậu,climate,69
khi nào,When,41
khu vực,area,70
kinh tế,economy,50
ký hiệu,symbol,33
kỹ năng,skill,41
làm bạn,make friends,21
làm sao,how,70
lặng lẽ,quiet,38
lặp lại,repeat,38
lâu đài,castle,27
lây lan,spread,70
leo cây,climb,70
lịch sự,polite,48
lịch sử,history,48
liên hệ,contact,70
liệt kê,list,35
lo lắng,worry,38
lơ lửng,floating,39
lợi thế,advantageous,51
lớp học,class,70
luật sư,lawyer,48
lúc này,now,42
mà cũng,but also,26
mạnh mẽ,strong,41
mẫu vật,sample,58
máy ảnh,camera,21
máy bay,plane,71
mấy giờ,what time,32
may mắn,lucky,40
mệt mỏi,tired,41
mọi thứ,everything,53
một khi,once,36
nam cực,Antarctica,26
nam phi,South Africa,45
nặng nề,heavy,42
nghệ sĩ,artist,72
ngư dân,fisherman,27
nhà báo,journalist,22
nhà hát,theater,73
nhà thơ,poet,52
nhà thờ,church,52
nhà văn,writer,58
nhạc sĩ,musician,73
nhận ra,realize,73
nhật ký,diary,37
như vậy,thus,73
nổi bật,outstanding,22
nổi dậy,revolt,28
nội địa,inland,28
nụ cười,smile,26
núi lửa,volcano,39
nước ép,juice,74
ổn định,stable,29
phá sản,bankrupt,47
phù hợp,fit,35
qua đời,death,30
quá khứ,past,75
quản lý,manage,40
quân sự,military,48
quốc tế,international,50
quý giá,valuable,31
ria mép,mustache,75
rõ ràng,clear,47
sài gòn,Saigon,33
sấm sét,thunder,76
sân bay,airport,76
sao hoả,Mars,34
sao kim,Venus,76
sao mộc,Jupiter,41
sao thổ,Saturn,52
sau khi,after,36
số phận,fate,44
so sánh,compare,47
sợi dây,rope,28
sử dụng,use,31
sự kiện,event,37
sự thật,truth,76
tác giả,author,31
tai nạn,accident,41
tâm trí,mind,56
tàn phá,devastated,44
tạp chí,magazine,24
tàu hoả,train ship,34
tê giác,rhino,32
tên lửa,missile,39
tha thứ,forgive,53
thái độ,attitude,29
thật là,truly,37
thật sự,actually,48
thế nào,how,41
thị lực,vision,39
thợ mộc,carpenter,41
thời sự,news,48
thu hút,attract,78
thủ thư,maiden,53
thức ăn,food,20
thuỵ sĩ,Switzerland,78
tiền tệ,money,50
tổ chức,organization,25
tờ giấy,paper,32
tổ tiên,ancestor,79
toà nhà,building,44
tối nay,tonight,42
tồn tại,exist,49
trả lời,reply,39
trở lại,return,38
trở nên,become,42
trừ khi,unless,36
tù binh,prisoner,23
từ chức,resign,25
từ điển,dictionary,28
tủ lạnh,fridge,38
tự mình,myself,80
tư nhân,private,43
ung thư,cancer,53
vai trò,role,57
văn bản,document,21
văn hoá,culture,34
văn học,literature,80
vận tốc,speed,80
vật thể,object,51
vậy nên,so,42
vệ sinh,toilet,80
vệ tinh,satellite,55
vẻ vang,glorious,80
vòng vo,ring,59
vừa mới,just,41
xe buýt,bus,82
xin lỗi,sorry,39
ý tưởng,idea,57
yêu cầu,request,82
âm thanh,sound,50
anh hùng,hero,35
ánh sáng,light,47
bãi biển,beach,22
bàn chải,brush,63
bàn chân,foot,24
bàn phím,keyboard,45
bản thân,self,50
bẩn tính,dirty calculation,55
bạn trai,boyfriend,56
bảnh bao,dashing,22
bảo hiểm,insurance,33
bảo tàng,museum,49
bắt giam,arrest,32
bầu trời,sky,63
biến mất,disappear,40
bỏ phiếu,vote,45
bóc lịch,calendar,63
bưng bít,hover,60
bưu điện,post office,28
cảm thấy,feel,51
cằn nhằn,grumble,43
cần phải,must,44
cẩn thận,careful,50
cảnh sát,police,64
cánh tay,arm,49
chăm chỉ,hard-working,24
chăm sóc,take care of,64
chi tiết,detail,60
cho phép,allow,65
cho rằng,assume,47
chủ nhật,Sunday,44
chuẩn bị,prepare,22
công dân,citizen,27
cộng hoà,republic,34
cộng sản,communist,47
cứng đầu,stubborn,27
cuộc hẹn,appointment,66
cuộc họp,meeting,35
cuộc thi,competition,51
diễn đàn,forum,27
dịu dàng,tender,27
dõng dạc,litter,67
du khách,tourist,61
dũng cảm,brave,24
duy nhất,only,67
đặc biệt,special,23
đại diện,represent,28
đài loan,Taiwan,60
đám cưới,wedding,26
đan mạch,Denmark,66
đạo phật,Buddhism,45
đầu hàng,surrender,66
đầu tiên,firstly,66
địa hình,topography,33
địa ngục,hell,66
điều tra,investigate,61
điều ước,treaty,61
đơn giản,simple,32
đông đúc,crowded,30
động vật,animal,58
găng tay,glove,49
gắt gỏng,cantankerous,33
gấu trúc,panda,67
gia đình,family,29
gia nhập,join,62
giai cấp,class,24
giám đốc,manager,62
giáo dục,education,30
giới hạn,limit,33
hài hước,humorous,35
hải quân,navy,46
hân hoan,joyful,34
hàn quốc,Korea,68
hạt nhân,nuclear,43
hệ thống,system,52
hiếm khi,seldom,36
hiện đại,modern,27
hiện tại,current,49
hiệu quả,effective,46
hình ảnh,image,21
hộ chiếu,passport,25
hoà bình,peaceful,23
hoàn hảo,perfect,33
học bổng,scholarship,23
học sinh,pupil,68
hội thảo,seminar,51
hôn nhân,marriage,43
hợp đồng,contract,30
huy động,mobilize,30
huyền bí,mystery,22
internet,internet,69
kế hoạch,plan,34
kết luận,conclude,39
kết thúc,end,54
khám phá,discover,44
khán giả,audiences,31
khó khăn,hard,35
khoá học,course,69
khoa học,science,69
không ai,no one,69
khủng bố,terrorism,23
kiểm tra,check,70
kinh phí,funding,45
lạc quan,optimistic,46
linh hồn,soul,35
lựa chọn,select,71
lưỡng lự,hesitating,71
màn hình,screen,33
mật khẩu,password,35
mặt trời,sun,71
mẫu giáo,kindergarten,32
máy giặt,washing machine,32
máy tính,computer,55
một cách,one-way,71
một chút,a little bit,71
mục đích,purpose,28
nam châm,magnet,72
nền tảng,foundation,49
ngẩn ngơ,bewildered,43
ngày mai,tomorrow,72
ngày mốt,daytime,41
nghĩa vụ,obligation,59
ngôi sao,star,72
ngọn đồi,hill,30
ngôn ngữ,language,43
ngón tay,finger,49
ngu ngốc,stupid,72
nhà hàng,restaurant,73
nhắc đến,mention,28
nhiệt độ,temperature,29
niềm tin,faith,55
niềm vui,fun,73
nội dung,content,31
nông dân,farmer,27
nồng nàn,passionate,41
nữ hoàng,queen,34
phản bội,betray,23
phản hồi,feedback,34
phần lan,Finland,74
phát huy,promote,74
phát xít,fascist,74
phía sau,behind,47
phổ biến,popular,22
phúc lợi,welfare,39
phức tạp,complicated,49
quân đội,army,30
quan tâm,care about,49
quần vợt,tennis,75
quốc gia,nation,31
quốc hội,National Assembly,34
rạp phim,cinema,45
rộn ràng,bustling,47
sản phẩm,product,44
sẵn sàng,ready,47
sản xuất,manufacture,76
sao thuỷ,Mercury,76
siêu thị,supermarket,51
sinh học,biology,76
số lượng,quantity,40
sức khoẻ,health,36
sức mạnh,power,40
tạm biệt,goodbye,23
tầm nhìn,vision,76
tạm thời,temporary,76
tấn công,attack,26
tập đoàn,group,29
tàu ngầm,submarine,76
tàu thuỷ,ships,76
thái lan,Thailand,77
thậm chí,even,24
tham gia,join,31
tham lam,greed,38
tháng tư,April,57
thất bại,failure,21
thầy bói,fortune teller,23
thay đổi,change,30
thế giới,world,32
thể thao,sport,51
thể tích,volume,54
thị thực,visa,54
thị trấn,town,77
thiên hà,galaxy,77
thiết bị,device,22
thiết kế,design,35
thoả mãn,satisfied,40
thư viện,library,59
thực đơn,menu,30
thực vật,plant,58
thuốc lá,tobacco,37
thuộc về,belong,58
thuỷ thủ,sailor,53
tích cực,positive,26
tiện lợi,convenient,39
tiền mặt,cash,40
tiếp tục,continue,57
tìm hiểu,learn about,33
tín hiệu,signal,33
tin nhắn,message,43
tình bạn,friendship,21
tình yêu,love,78
toả sáng,shine,47
tội phạm,criminal,44
tôn giáo,religion,32
trái cây,fruit,79
trái đất,Earth,79
trái tim,heart,79
trận đấu,match,27
trang bị,equipped,22
trình độ,level,29
trò chơi,game,79
tuyên bố,declare,23
ứng dụng,application,31
vâng lời,obey,39
vật chất,material,80
ven biển,coastal,22
việt nam,Vietnam,81
vô nghĩa,meaningless,42
với nhau,together,81
vũ trang,armed,56
xâm lược,aggression,40
xấu tính,disgusting,55
xây dựng,build,31
xuất bản,publish,21
yên lặng,quiet,38
yên tĩnh,quiet,55
ảnh hưởng,affect,35
bài giảng,lesson,32
bàn thắng,goal,50
bất kỳ ai,anyone,37
bắt nguồn,source,63
bệnh nhân,patient,43
bệnh viện,hospital,59
biên giới,border,32
biểu tình,protest,55
bình đẳng,equality,27
bình luận,comment,39
bình tĩnh,calm,55
bong bóng,balloon,23
cách mạng,revolution,40
cái gì đó,something,64
cải thiện,improve,52
cần thiết,necessary,64
cẳng chân,leg,24
cánh đồng,field,30
cảnh quan,landscape,46
chậm chạp,slow,64
chào mừng,welcome,41
chấp nhận,accept,43
chặt chém,slash,65
chạy trốn,escape,65
chen chúc,crowd,25
chỉ trích,criticize,60
chia buồn,condolences,65
chìa khoá,key,36
chiến đấu,fight,27
chín chắn,mature,24
chính phủ,government,46
chính trị,politics,56
chống lại,against,38
chủ nghĩa,tenet,42
chủ quyền,sovereignty,47
chứa chan,full,24
chúc mừng,congratulations,41
chúng tôi,we,65
con đường,road,31
con người,human,43
công cộng,public,26
công nghệ,technology,42
công nhân,worker,43
công thức,recipe,54
công viên,park,59
cũng được,that's OK,31
cùng nhau,together,66
cuộc sống,life,66
cuối cùng,final,26
danh sách,list,66
dễ thương,cute,54
dịch bệnh,pandemic,66
diễn viên,performer,59
dửng dưng,indifferent,31
đại dương,ocean,31
đăng nhập,log in,61
đạo khổng,Confucianism,36
đình công,strike,26
đồng bằng,plain,22
đường hầm,tunnel,67
đường phố,street,45
giải pháp,solution,45
giao dịch,transaction,28
giao tiếp,communicate,67
giáo viên,teacher,59
giấy phép,license,67
hành động,act,30
hạnh phúc,happy,46
hành tinh,planet,55
hào phóng,generous,45
hiến pháp,constitution,45
hiệu sách,bookstore,68
hình phạt,penalty,45
hoàn toàn,completely,56
indonesia,Indonesia,69
khắc phục,fix,46
khách sạn,hotel,47
khái niệm,concept,69
khiêm tốn,modest,69
không khí,air,36
không nên,should not,42
không thể,cannot,51
kiểm soát,control,70
kiên nhẫn,patient,43
kiến thức,knowledge,54
làm phiền,bother,45
lắng nghe,listen,42
lạnh lùng,cold,39
linh hoạt,flexible,34
lợi nhuận,profit,70
lối thoát,escape,52
lực lượng,force,40
lung linh,sparkling,71
lượng mưa,rainfall,71
lương tâm,conscience,49
luyện tập,practice,49
mạng lưới,network,71
mặt trăng,moon,56
mọi người,everybody,43
một ai đó,someone,71
năm ngoái,last year,72
ngân hàng,bank,72
ngày sinh,date of birth,72
ngoại trừ,except,57
nguồn gốc,source,32
ngưỡng mộ,admire,41
nguy hiểm,danger,33
nhận được,receive,31
nhận gạch,get bricks,73
nhãn hiệu,brand,33
nhân viên,staff,59
nhanh lên,hurry up,73
nhập khẩu,import,35
nhiếp ảnh,photographer,21
nội chiến,civil war,25
nói chung,general,25
nổi tiếng,famous,73
nông trại,farm,56
phân biệt,distinguish,23
phát hiện,detect,33
phát minh,invented,74
phiên bản,version,21
phòng ngủ,bedroom,43
phòng tắm,bathroom,49
phòng thủ,defense,53
phong tục,customs,57
phục kích,ambush,75
quân phục,military uniform,46
quảng cáo,advertisement,75
quốc tịch,nationality,54
quyền lực,power,39
ràng buộc,binding,75
sự bảo vệ,protection,22
sự đầu tư,investment,27
sự đồng ý,consent,30
sự nghiệp,career,42
sự sợ hãi,fear,48
sự ủng hộ,support,60
tài khoản,account,36
tàng hình,stealth,33
tập trung,concentrate,76
tàu chiến,battleship,25
tây ba lô,backpack,77
tháng một,January,41
thành phố,city,45
thảo luận,discuss,39
thập niên,decade,44
thắt lưng,belt,39
thất vọng,disappointed,77
thích hợp,fit,35
thiệt hại,damages,33
thời gian,time,32
thời tiết,weather,78
thông báo,notification,22
thông tin,information,55
thử thách,challenge,50
thuộc địa,colonial,28
thuỵ điển,Swedish,28
tiệm bánh,bakery,22
tiểu đoàn,battalion,29
tính cách,character,78
tình hình,situation,33
tối thiểu,minimum,52
tôn trọng,respect,79
tổng cộng,total,26
triết học,philosophy,79
triều đại,dynasty,27
trở thành,become,50
trốn thuế,tax evasion,79
trong khi,while,36
trọng tài,referee,49
trúng gió,apoplexy,32
trung tâm,center,49
trước khi,before,36
tượng đài,monument,27
tương lai,future,38
